SAPcustId,customerName,custCountryId,custStateId,custCityId,status,vertical,startDate,endDate
C-0001,GE Vernova,101,4012,132132,Inactive,BFS,,
C-0002,Penske,101,4012,132132,Active,BFS,,
C-0003,Cox Enterprises,101,4012,132132,Active,BFS,,
C-0004,Ahold Delhaize,101,4012,132132,Active,CapitalMarkets,,
C-0005,Rain Bird,101,4012,132132,Active,BFS,,
C-0006,ABB,101,4012,132132,Active,BFS,,
C-0007,GE Aviation,101,4012,132132,Active,BFS,,
C-0008,GE HealthCare,101,4012,132132,Inactive,BFS,,
C-0009,Asahi Breweries,101,4012,132132,Inactive,CapitalMarkets,,
C-0010,Dentsply Sirona,101,4012,132132,Active,CapitalMarkets,,
C-0011,Wabtec,101,4012,132132,Active,BFS,,
C-0012,Cytiva,101,4012,132132,Inactive,BFS,,
C-0013,SPIRIT AEROSYSTEMS,101,,132132,Active,BFS,,
C-0014,CSC,101,,132132,Active,BFS,,
C-0015,OTSUKA PHARMACEUTICAL COMPANY LIMITED,101,4012,132132,Inactive,CapitalMarkets,,
C-0016,Entegris,101,4012,132132,Active,BFS,,
C-0017,IEH Auto Parts,101,4012,132132,Active,BFS,,
C-0018,Viatris,101,4012,132132,Active,CapitalMarkets,,
C-0019,LAM Research,101,4012,132132,Active,BFS,,
C-0020,REED ELSEVIER,101,4012,132132,Active,BFS,,
C-0021,Norgine,101,4012,132132,Inactive,CapitalMarkets,,
C-0022,BCG THE BOSTON CONSULTING GROUP,101,4012,132132,Active,BFS,,
C-0023,Click Therapeutics,101,4012,132132,Active,CapitalMarkets,,
C-0024,HEINEKEN,101,4012,132132,Inactive,CapitalMarkets,,
C-0025,HYATT,101,4012,132132,Active,BFS,,
C-0026,Reworld,101,4012,132132,Active,BFS,,
C-0027,CNH Industrials,101,4012,132132,Inactive,BFS,,
C-0028,DOLLAR GENERAL,101,,132132,Active,CapitalMarkets,,
C-0029,Shutterfly,101,4012,132132,Active,BFS,,
C-0030,Coca Cola Bottlers Sales & Services,101,4012,132132,Active,CapitalMarkets,,
C-0031,I D SYSTEMS,101,4012,132132,Active,BFS,,
C-0032,CDK Global,101,4012,132132,Active,BFS,,
C-0033,BAKER HUGHES,101,4012,132132,Active,BFS,,
C-0034,TaylorMade Golf,101,4012,132132,Inactive,CapitalMarkets,,
C-0035,Amazon,101,4012,132132,Active,BFS,,
C-0036,Iveco Group,101,4012,132132,Active,BFS,,
C-0037,Meta,101,4012,132132,Inactive,BFS,,
C-0038,HUMANA,101,4012,132132,Active,CapitalMarkets,,
C-0039,GALDERMA,101,4012,132132,Active,CapitalMarkets,,
C-0040,Believer Meats,101,4012,132132,Active,CapitalMarkets,,
